ticket_id,title,description,category,priority,resolution,escalated,time_to_resolve_hours,user_role
34,Printer printing blank pages,Network printer printing blank sheets,Hardware Issue,P4,Replaced toner cartridge,False,3,Employee
35,Video conferencing not working,Teams calls dropping frequently during meetings,Network Issue,P3,Updated network drivers and reset adapter,False,4,Employee
36,Data warehouse sync delayed,ETL jobs delayed causing stale dashboard data,Performance Issue,P2,Restarted ETL scheduler and optimized job sequence,False,5,Data Analyst
37,Cloud instance terminated unexpectedly,Production cloud VM stopped without warning,System Outage,P1,Restored instance from backup and analyzed logs,True,3,Cloud Admin
38,Customer portal login failure,External customers unable to log into portal,Access Issue,P1,Fixed authentication service configuration,True,2,Support Head
39,VPN latency high,Remote employees experiencing VPN lag,Network Issue,P3,Upgraded VPN bandwidth allocation,False,5,Employee
40,Antivirus service disabled,Endpoint antivirus stopped running on multiple devices,Security Issue,P2,Reinstalled antivirus and updated signatures,False,4,IT Admin
41,Core switch failure,Primary core switch stopped responding,System Outage,P1,Replaced faulty switch hardware,True,2,Network Admin
42,Time tracking system error,Employees unable to submit timesheets,Application Bug,P3,Restarted application service and cleared cache,False,4,Employee
43,Director unable to access email,Director account locked after suspicious activity,Access Issue,P1,Unlocked account and enforced MFA reset,True,2,Director
44,Backup storage corrupted,Backup files corrupted after nightly job,System Issue,P1,Restored from secondary backup and reconfigured storage,True,3,IT Admin
45,Internal chat application down,Company chat server offline for all users,System Outage,P1,Restarted messaging service cluster,True,2,Operations Manager
46,Application response delay for single user,One user reporting slow dashboard load,Performance Issue,P4,Cleared browser cache and optimized query,False,3,Employee
47,API authentication token expired,Third-party integration failing due to expired token,Application Issue,P2,Regenerated API token and updated config,False,2,Developer
48,Firewall firmware outdated,Firewall running outdated firmware version,Security Issue,P3,Updated firmware to latest secure version,False,6,Network Admin
49,CTO laptop encryption failure,Disk encryption failed after OS update,Security Issue,P1,Reinstalled encryption module and verified keys,True,3,CTO
50,Inventory database mismatch,Stock levels not matching warehouse count,Database Issue,P2,Rebuilt index and synchronized records,False,5,Operations Manager
